,sentence,entities
444,"44 ° and 47 ° S with detailed radiocarbon chronologies shows the initiation of organic sedimentation centered around 17 500 cal yr BP (14 500 14C BP, Fig. 7) .","(44 ° and, 47 °)"
446,"Sedimentation was very rapid during the initial phase of sedimentation, particularly in sites north of the Taitao Peninsula (46 ° S) .","(46 ° S,)"
447,"46 and 50 ° S (Taitao Peninsula : Bennett et al2000 ; Puerto Eden : Ashworth et al1991) do not show any charcoal in their 17 000 cal yr history, a few sites north of lat .","(50 ° S, Puerto Eden)"
448,"49 ° and 40 ° S, steppe/woodland vegetation shifted to Patagonian rainforest west of the Andes (Bennett et al2000 ; Haberle and Bennett, 2004 ; Moreno, V. Markgraf et alPalaeogeography, Palaeoclimatology, Palaeoecology 254 (2007) 492507 501 2004) (Fig. 6 -)and steppe was replaced by Nothofagus woodland east of the Andes (Markgraf and Bianchi, 1999 ; Markgraf et al2002 ; Whitlock et al2006) .","(49 ° and, 40 ° S, steppe, Andes, Haberle, Markgraf, Nothofagus, Andes, Markgraf, Markgraf)"
450,"50 ° S, Empetrum heath was replaced by graminoid steppe at that time (Markgraf et al1992 ; Pendall et al2001 ; Huber et al2004) .","(50 ° S, Empetrum heath, Markgraf)"
451,"49 ° and 40 ° S west of the Andes expressed by high values of Weinmannia and Tepualia (e.g. Villagran, 1990 ; Moreno, 2000 ; Haberle and Bennett, 2004) (Fig. 6 -)and mesic steppe was replaced by xeric Empetrum-rich steppe at latitudes south of 50 ° S (Markgraf et al1992) .","(49 ° and, 40 °, Andes, Weinmannia, Tepualia, Haberle, Markgraf)"
453,"While in latitudes south of 50 ° S open Nothofagus forests and high fire frequency lasted from 11 000 to 6000 cal yr BP (Huber et al2004 -)at M. Pollux and Laguna Facil (Fig. 6) the change to a more mesic forest composition and reduced fires occurred between 8000 and 7000 yr BP (Haberle and Bennett, 2004) .","(50 ° S, Nothofagus, Haberle)"
454,"At mid-latitudes (40 ° to 42 ° S) fires were essentially absent or low after 10 000 cal yr BP (Moreno and Leon, 2003 ; Whitlock et al2006, 2007 -)despite the fact that vegetation continued somewhat drier and warmer than today until 7000 cal yr B.P. (Markgraf and Bianchi, 1999 ; Moreno, 2004) .","(42 ° S, Markgraf)"
455,"45 ° S, show high charcoal values after 4000 cal yr BP and especially after 2000 cal yr BP (Haberle and Bennett, 2004 ; Whitlock et al2007 ; Fig. 6) .","(45 ° S, show, Haberle)"
456,"45 ° S, also in accordance with historical information, document European settlement activities, including burning in the 1880 s (Szeicz et al1998, 2003) .","(45 ° S, also,)"
457,"40 ° to 42 ° S (Heusser et al1999 ; Moreno et al1999) and M. Pollux, east of the Andes at lat .","(42 ° S, Andes)"
458,"45 ° S. Prior to 17 000 cal yr BP, the northern records show substantial amounts of non-arboreal taxa (Poaceae, Asteraceae -)on account of reduced amounts of arboreal taxa .","(45 ° S.,)"
459,"41 ° S, occurred between 19 200 and 17 400 cal yr BP (Lamy et al2004) .","(41 ° S, occurred,)"
460,"Low values of Nothofagus dombeyi-type pollen after 16 000 cal yr BP in coastal records between 44 ° and 47 ° S suggest the local presence of this taxon while pollen of other rainforest taxa (e.g. Podocarpus, Pilgerodendron) are present only in trace amounts (Lumley and Switsur, 1993 ; Haberle and Bennett, 2004) .","(Nothofagus, 47 ° S, Lumley, Switsur, Haberle)"
461,Except for the west coast sites between latitudes 40 ° and 49 ° S and lower treeline sites at lat .,"(49 ° S,)"
462,4142 ° S (Whitlock et al2006 -)high fire activity is indicated in nearly all records between mid-latitudes at 40 ° and 56 ° S (Whitlock et al2007) .,"(4142 ° S,)"
463,"46 ° and 49 ° S, but comparable evidence of cooling is not detected in the vegetation history at M. Pollux and at other sites in southern Patagonia (e.g. Huber et al2004) .","(46 ° and, 49 ° S, Patagonia)"
465,"46 ° S (Fig. 7) increased at this time, possibly in connection with enhanced precipitation seasonality, that became established northwards from the Taitao Peninsula .","(46 ° S, the Taitao Peninsula)"
466,"In contrast to the very low fire activity at M. Pollux and most other high latitude sites, mid-latitudes sites between lat 40 and 45 ° S show high and variable fire occurrence in the last few millennia (Whitlock et al2007) .","(45 ° S,)"
467,"Richard L. Reynolds (US Geological Survey) performed magnetic susceptibility analyses, and Eric Grimm advised us on calibration aspects of the chronology .","(Richard L. Reynolds, US Geological Survey, Eric Grimm)"
468,Daily temperatures range from an annual minimum mean of 17 ° C to an annual maximum mean of 27 ° C (Hijmans et al2005) .,"(17 ° C, 27 ° C)"
470,"Sediment cores were transported unopened to the laboratory and stored in a dark cold room at 4 ° C. Sedimentary descriptions were made using Munsell color charts (Munsell, 1994) .","(4 ° C. Sedimentary,)"
471,366 D.H. Urrego et alQuaternary Research 73 (2010) 364373 Figure 2 .,"(alQuaternary Research 73 (2010,)"
472,367 368 D.H. Urrego et alQuaternary Research 73 (2010) 364373 Figure 4 .,"(alQuaternary Research 73 (2010,)"
473,"Change in insolation curves for wet (January, dotted line) and dry season (July, solid line) at 14 ° S over the past 46 300 cal yr BP .","(14 ° S,)"
474,"370 D.H. Urrego et alQuaternary Research 73 (2010) 364373 Discussion Lake Consuelo recorded a remarkably continuous moist montane forest cover during the past 46 300 cal yr BP, despite major changes in species composition and periods of reduced moisture availability .","(alQuaternary Research 73 (2010,)"
475,"Harrison and Metcalfe (1985) and Harrison (1988, 1989) showed that lake levels for the eastern United States (23.5 ° to 60 ° N, east of 100 ° W) were high between 0033-5894/00 $ 35.00 Copyright © 2000 by the University of Washington .","(United States, 23.5 ° to, 60 ° N)"
477,"Our study has added to this work with an analysis of the fossil pollen, spores and sediments from the Makepeace Cedar Swamp (41 ° 56ЈN, 70 ° 46ЈW) near Carver, Massachusetts .","(41 ° 56ЈN, 70 ° 46ЈW), Carver, Massachusetts)"
478,SHRUBS MICROCACHRYS 1 MICROSTROBOS KIOOCARPUS -RSB- gmFnOUS ` I I I II I ll I IlI u GRAMINEAE 1 CHENOPOWACEAE 1 CASUARlNA mm : IAId 22 05 & 2 2 f5 - cIn EUCALYPTUS -RSB- !,"(05 & 2 2,)"
479,"Lake Tiberias (Midlands, Inland Eastern Tasmania : 4225 'S, 147 ' 22 ' E) Lake Tiberias (442 m) is located on the higher (central) Midlands, a belt of plains broadly contained within the subhumid province (Fig. 1) .","(147 ' 22 ' E, Lake Tiberias)"
480,"137, 1 ± 24 .","(137, 1 ± 24 .,)"
481,"18, 25 ± 40 .","(18, 25 ± 40,)"
482,"268 S.G. Haberle et alPalaeogeography, Palaeoclimatology, Palaeoecology 171 (2001) 259 ± 268 Jarvis, D.I1993 .","(259 ± 268 Jarvis,)"
483,We also use macroscopic charcoal analyses to examine local ﬁre regime changes on Pender Island in 50 ° 45 ° Pacific Ocean 40 ° 250 km 125 ° 1 Pender Is .,"(125 ° 1 Pender,)"
484,"Roe Lake (48 ° 46.98 ′ N, 123 ° 18.18 ′ W) is a small (3 ha -)low-elevation lake (100 m asl) located on the northwestern side of Pender Island in the Gulf Islands National Park Reserve .","(48 ° 46.98 ′ N, 123 ° 18.18 ′ W, Pender Island, the Gulf Islands National Park Reserve)"
486,"Available online at www.sciencedirect.com Quaternary Research 71 (2009) 7182 www.elsevier.com/locate/yqres A 24 700-yr paleolimnological history from the Peruvian Andes Rachel Hillyer a, b, Bryan G. Valencia a, Mark B. Bush aMiles R. Silman b, Miriam Steinitz-Kannan c a Department of Biological Sciences, Florida Institute of Technology, 150 W. University BlvdMelbourne, FL 32901, USA b Department of Biology, Wake Forest University, Winston Salem, NC 27109, USA c Department of Biology, Northern Kentucky University, Highland Heights, KY 41099, USA Received 22 February 2008 Available online 10 October 2008 Abstract A new paleolimnological dataset from Lake Pacucha (13 ° S, 3095 m elevation) in the Peruvian Andes provides evidence of changes in lake level over the past 24 700 yr .","(Florida, Winston Salem, Highland Heights, Lake Pacucha, 13 ° S, 3095, Andes)"
487,"The site Lake Pacucha lies at 13 ° 36 ′ 26 ″ S, 73 ° 29 ′ 42 ″ W at 3095 m elevation .","(13 ° 36 ′ 26 ″ S, 73 ° 29 ′,)"
488,R. Hillyer et alQuaternary Research 71 (2009) 7182 73 Temperatures at this elevation average c. 1315 ° C and occasional dry season frost would occur .,"(alQuaternary Research 71 (,)"
489,"placed in weighed crucibles, and reweighed following 24 h at 105 ° C, 4 h at 550 ° C, and 2 h at 950 ° C (Heiri et al2001) .","(550 ° C, 950 ° C)"
491,R. Hillyer et alQuaternary Research 71 (2009) 7182 77 Figure 5 .,"(alQuaternary Research 71 (,)"
492,"The timing of the oscillations in the Lake Pacucha record strongly resemble those from Lake Consuelo (13 ° S, 1360 m elevation ; 470 km from Pacucha) .","(Lake Consuelo, 13 ° S, 1360)"
493,"September to March (wet season) insolation for 13 ° S (Berger, 1992) is shown by the dashed pale line .","(13 °,)"
494,"R. Hillyer et alQuaternary Research 71 (2009) 7182 81 Bush, M.BHanselman, J.AHooghiemstra, H2007b .","(alQuaternary Research 71 (,)"
495,Paleotemperature estimates for the lowland Americas between 30 ° S and 30 ° N at the last glacial maximum .,"(30 ° S,)"
496,"We also thank J. Southon, Lawrence Livermore Laboratory, for AMS dating wood and insect samples, and D. Peteet, Lamont Geological 224 CONG ET AL. .","(Lawrence Livermore Laboratory,)"
497,"A. chilensis ranges discontinuously west and east of the Andes over 10 ° latitude (Chile : 32 ° 39 ′ to 44 ° S, Argentina : 36 ° 30 ′ to 43 ° 35 ′ S) growing in lowland mixed Nothofagus dombeyi forests and extending into the Patagonian steppe in locations where annual precipitation is between b 2000 mm and 400 mm with up to 6 months of summer drought (Veblen et al1995) .","(Andes, 32 ° 39 ′ to, 44 ° S, Argentina, 36 ° 30 ′ to, 43 °, Nothofagus)"
501,F. cupressoides grows on nutrient-poor soils from 100 to 1200 m elevation in highly discontinuous populations over a 4 ° latitudinal range (Chile : 39 ° 50 ′ to 43 ° 30 ′ S ; Argentina : 41 ° to 43 ° S) .,"(4 ° latitudinal range, Chile, 39 ° 50 ′ to, 43 °, Argentina, 43 ° S)"
505,"P. uviferum has the widest distributional range of over 15 ° latitude (39 ° 30 ′ S to 55 ° 30 ′ S) but is restricted to isolated small populations in lowland wetlands, mostly west of the Andes .","(55 °, lowland wetlands, Andes)"
506,"The Cyperaceae (Scirpus -)Empetrum nigrum wetland is located in a narrow longitudinal depression on the south-west facing slope of the mountain range at 995 m elevation (41 ° 46 ′ 5 ″ S, 71 ° 25 ′ 13 ″ W ; Figs. 1, 2) .","(71 ° 25 ′ 13,)"
507,"However, the decrease of genetic diversity from 38 to 44 ° S for modern Austrocedrus has been interpreted in terms of long-distance dispersal from north to south during postglacial times (Premoli et al2011 -)arguing against dispersed refuges .","(44 ° S,)"
508,"doi :10.1016 / j.yqres .2006.08.006 298 Z. Yu / Quaternary Research 67 (2007) 297303 Study site White Lake is located in northwestern New Jersey (41 ° 00 ′ N, 74 ° 55 ′ W ; 138 m asl ; Fig. 1) .","(New Jersey, 41 ° 00, 74 ° 55 ′ W)"
510,95 % cal age range (2σ) 1040310608 1049410697 1123911639 1234712881 32063378 1333013705 1392514635 Age used (cal .,"(95 % cal,)"
511,"Recent trends show that tropical montane regions are indeed warming rapidly0.34 ° C/decade across the tropical Andes (Vuille and Bradley, 2000) and 0.27 ° C/decade in the Hawaiian Islands at the northern limit of the Tropics (Giambelluca et al2008 ; Juvik et al2011) .","(Andes, Vuille, Bradley, 0.27 ° C, the Hawaiian Islands)"
512,21 Cibotium22 Cyperaceae 23 Ilex anomala 24 Lamiaceae undiff .,"(24 Lamiaceae,)"
513,BRADBURY) LA E. DAKOTA (R.BBRlJGAM) LAKES 20I II I LL 130120 ° 140 ° 150160170180FIG. 1 .,"(140 ° 150160170180FIG.,)"
514,"We report here on the pollen analysis of a Holocene peat section from the Old Field (37 ' 7 ’N, 89YO ' W -)a large swamp within the Morehouse Lowland at the northern end of the Mississippi Embayment, a region where the mixed forest and prairie of the Prairie Peninsula and the Ozark deciduous forests lie in close proximity to the northern extension of the southern floodplain forests (Fig. 1) .","(37 ' 7 ’N, the Prairie Peninsula, Ozark)"
515,"LA Group, PC .","(LA Group,)"
516,XXX (Diamond Valley) TotalMegalonyx 1 1 % 1 1 % 2 1 % Paramylodon 3 4 % 6 7 % 9 6 % Nothrotheriops 01 1 % 1 1 % Mustela 1 1 % 1 1 % 2 1 % Mephitis 1 1 % 01 1 % Taxidea 01 1 % 1 1 % Canis 2 3 % 1 1 % 3 2 % Urocyon 1 1 % 01 1 % Ursus 1 1 % 1 1 % 2 1 % Smilodon 1 1 % 01 1 % Lynx 01 1 % 1 1 % Panthera 1 1 % 1 1 % 2 1 % Equus 13 20 % 12 15 % 25 17 % Platygonus 01 1 % 1 1 % Hemiauchenia 01 1 % 1 1 % Camelops 14 21 % 23 28 % 37 25 % Bison 12 18 % 19 23 % 31 21 % Odocoileus 2 3 % 1 1 % 3 2 % Antilocapra 1 1 % 1 1 % 2 1 % Capromeryx 1 1 % 1 1 % 2 1 % Mammut 8 12 % 7 9 % 15 10 % Mammuthus 3 4 % 1 1 % 4 3 % Paramylodon from 5.20 .,"(28 % 37 25 %,)"
517,XXX (Diamond Valley) TotalMegalonyx 4 < 1 % 2 < 1 % 6 < 1 % Paramylodon 45 7 % 41 5 % 86 6 % Nothrotheriops 01 < 1 % 1 < 1 % Mustela 2 < 1 % 2 < 1 % 4 < 1 % Mephitis 1 < 1 % 01 < 1 % Taxidea 01 < 1 % 1 < 1 % Canis 6 1 % 7 1 % 13 1 % Urocyon 3 < 1 % 03 < 1 % Ursus 2 < 1 % 1 < 1 % 3 < 1 % Smilodon 2 < 1 % 02 < 1 % Lynx 01 < 1 % 1 < 1 % Panthera 1 < 1 % 1 < 1 % 2 < 1 % Equus 179 28 % 212 26 % 391 27 % Platygonus 01 < 1 % 1 < 1 % Hemiauchenia 01 < 1 % 1 < 1 % Camelops 148 23 % 197 24 % 345 24 % Bison 137 22 % 275 34 % 412 28 % Odocoileus 6 1 % 12 1 % 18 < 1 % Antilocapra 1 < 1 % 1 < 1 % 2 < 1 % Capromeryx 1 < 1 % 1 < 1 % 2 < 1 % Mammut 69 11 % 40 5 % 109 8 % Mammuthus 28 4 % 12 1 % 40 3 % radiocarbon dating .,"(2 <, 01 < 1 % 1 <, 18 < 1 %)"
520,XXX) Megalonyx < 1 % Paramylodon 8 % Nothrotheriops < 1 % Equus 20 % Platygonus < 1 % Hemiauchenia < 1 % Camelops 17 % Bison 31 % Odocoileus 1 % Antilocapra < 1 % Capromeryx < 1 % Mammut 20 % Mammuthus < 11 % 81 % 1611 % 31 % 26111 % 1011 % 51 % 2711 % 25 % 35 % 211 % 5 % 2 % TOTAL (both valleys) Megalonyx Paramylodon Nothrotheriops Equus Platygonus Hemiauchenia Camelops Bison Odocoileus Antilocapra Capromeryx Mammut Mammuthus < 1 % 91 % 2111 % 18 % 25 % 111 % 21 % 61 % 71 % 1911 % 28 % 24 % 2 % 1 % 1 % 11 % 31 % 61 % 2811 % 24 % 29 % 111 % 8 % 3 % 5 .,"(24 % 2 % 1 % 1 % 11 % 31 % 61 % 2811 % 24 % 29 % 111 % 8 % 3 %,)"
590,"Submit your article to this journal Article views : 23 View related articles Citing articles : 107 View citing articles Full Terms & Conditions of access and use can be found at http://www.tandfonline.com/action/journalInformation?journalCode=tpal20 Download byLSB- UW-Madison (GeoDeepDive) -RSB- Date : 19 March 2017, At : 06:12 LATE AND POSTGLACIAL VEGETATIONAL AND PALEOCLIMATIC CHANGES IN SUBANTARCTIC, TEMPERATE, AND ARID ENVIRONMENTS IN ARGENTINA VERA MARKGRAF Institute of Arctic and Alpine Research Universityof Colorado Boulder, Colorado 80309 Abstract A paleoclimatic chronology for southern South America is suggested by comparison of dated pollen records from Argentina (lat 32 ° to 34 ° S, 41 ° S and 51 ° to 54 ° S) .","(SUBANTARCTIC, Boulder, Colorado, South America, Argentina, 34 ° S, 41 ° S)"
627,"The next following climatic change occurred at 5 000 yr B.Pwhen at lat 51 ° to 54 ° S, 41 ° S and 31 ° to 34 ° S precipitation increased, especially the winter rain component at lat 34 ° S .","(54 ° S, 41 ° S,)"
669,"~ o • 0 Torres del Paine (50 o 59 ' S, 72 o 4 ' W -)o C, eco, Cueva Miloddn (51 ° 35 ' S, 72 ° 38 ' W) Fells Cave (52 ° 4 ' S, 6907 ' W) Ashworth et al. 1991 -LCB- 50-150 ~ 1X 103cm3 -)oo","(4 ' S, 6907 ' W,)"
757,"Lake Titicaca (Bolivia/Peru ; 3810 m above sea level ; 1617 ° S, 68.570 ° W) currently covers c. 8500 km2 of the Altiplano and lies between the Cordilleras Oriental and Occidental .","(1617 ° S, 68.570 ° W, Occidental)"
896,"This interpretation is supported by correlation with sediments from Salar de Uyuni (20 ° S, 68 ° W ; 3653 masl) .","(20 ° S, 68 ° W,)"
897,"Cores recovered from the Salar de Uyuni (20 ° S, 68 ° W) provide the only published palaeoecological records from the southern hemisphere tropical Andes that cover the last glacial-interglacial cycle (Sylvestre et al1999 ; Baker et al2001a ; Fritz et al2004 ; Chepstow-Lusty et al2005) .","(20 ° S, 68 ° W, Andes, Sylvestre)"
965,"Our focus is the northeastern United States (3748 ° N, 8067 ° W -)where many fossil-pollen records exist from lakes and mires but few sites have been sampled speciﬁcally to record changes in water level .","(United States, 3748 ° N, 8067 ° W)"
999,"Holocene climate variability and environmental history at the Patagonian forest/steppe ecotone : Lago Mosquito (42.50 ° S, 71.40 ° W) and Laguna del Cóndor (42.20 ° S, 71.17 ° W) .","(42.50 ° S, 71.40 ° W, Laguna del Cóndor, 42.20 ° S, 71.17 ° W)"
